Platform,Product Name,Seller,Price,Delivery Fees,Delivery Date,Product State,Seller Rating,Timestamp
E.Leclerc,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 512 Go Noir",E.Leclerc,"1349,00 €",Offerte,Prévue entre le 27/12/24 et le 28/12/24,NEUF,0,24/12/2024 13:30:11
E.Leclerc,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 512 Go Noir",Icoza,"1408,17 €",Offerte,Prévue entre le 27/12/24 et le 28/12/24,NEUF,0,24/12/2024 13:30:11
E.Leclerc,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 512 Go Noir",Stock e-commerce,"1409,17 €",Offerte,Prévue entre le 27/12/24 et le 28/12/24,NEUF,0,24/12/2024 13:30:11
E.Leclerc,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 512 Go Noir",Maxmovil,"1432,28 €",Offerte,Prévue entre le 27/12/24 et le 28/12/24,NEUF,0,24/12/2024 13:30:11
E.Leclerc,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 512 Go Noir",Monsieurplus,"1473,99 €",Offerte,Prévue entre le 27/12/24 et le 28/12/24,NEUF,0,24/12/2024 13:30:11
E.Leclerc,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 512 Go Noir",Espace-Disque,"1493,69 €",Offerte,Prévue entre le 27/12/24 et le 28/12/24,NEUF,0,24/12/2024 13:30:11
E.Leclerc,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 512 Go Noir",La Boutique du Net,"1674,62 €",Offerte,Prévue entre le 27/12/24 et le 28/12/24,NEUF,0,24/12/2024 13:30:11
E.Leclerc,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 512 Go Noir",SIA Solution,"1907,26 €",Offerte,Prévue entre le 27/12/24 et le 28/12/24,NEUF,0,24/12/2024 13:30:11
E.Leclerc,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 512 Go Noir",ZOOMICI,"1946,22 €",Offerte,Prévue entre le 27/12/24 et le 28/12/24,NEUF,0,24/12/2024 13:30:11
------------------------------------------------------------------------------------------------------------------------------------
Platform,Product Name,Seller,Price,Delivery Fees,Delivery Date,Product State,Seller Rating,Timestamp
E.Leclerc,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 256 Go Noir",E.Leclerc,"1098,00 €",Offerte,Prévue entre le 27/12/24 et le 28/12/24,NEUF,0,24/12/2024 13:30:17
